Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Lande,Leading percentages,Reference
"=""3d10.35s""","=""2S""","=""1/2""","=""""","=""0.2834628""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.35p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2834794""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.36s""","=""2S""","=""1/2""","=""""","=""0.2834915""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.36p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2835058""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.37s""","=""2S""","=""1/2""","=""""","=""0.2835157""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.37p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2835304""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.38s""","=""2S""","=""1/2""","=""""","=""0.2835398""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.38p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2835529""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.39s""","=""2S""","=""1/2""","=""""","=""0.2835612""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.39p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2835735""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.40s""","=""2S""","=""1/2""","=""""","=""0.2835804""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.40p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2835925""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.41s""","=""2S""","=""1/2""","=""""","=""0.2835991""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.41p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2836101""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.42p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2836264""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.43p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2836413""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.44p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2836553""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.45p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2836685""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.46p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2836807""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.47p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2836921""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.48p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837028""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.49p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837125""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.50p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837221""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.51p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837311""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.52p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837389""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.53p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837467""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.54p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837535""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.55p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837613""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.56p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837676""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.57p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2837736""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""Cu II (3d10 1S<0>)""","=""Limit""","=""---""","=""""","=""0.28393924""","=""""","=""0.00000014""","=""""","=""                                                    ""","=""L14897"""
"=""3d9.4s.(3D).5s""","=""4D""","=""7/2""","=""""","=""0.28433050""","=""""","=""0.00000014""","=""1.42""","="" 100                                                ""","=""L10559c152"""
"=""3d9.4s.(3D).5s""","=""4D""","=""5/2""","=""""","=""0.28681338""","=""""","=""0.00000023""","=""""","=""  82             :    12  3d9.4s.(1D).5s       2D   ""","=""L10559c152"""
"=""3d9.4s.(3D).5s""","=""4D""","=""3/2""","=""""","=""0.28971298""","=""""","=""0.00000023""","=""""","=""  73             :    15  3d9.4s.(3D).5s       2D   ""","=""L10559c152"""
"=""3d9.4s.(3D).5s""","=""4D""","=""1/2""","=""""","=""0.29375764""","=""""","=""0.00000014""","=""0.00""","="" 100                                                ""","=""L10559c152"""
"=""3d9.4s.(3D).5s""","=""2D""","=""5/2""","=""""","=""0.2946018""","=""""","=""0.0000003""","=""""","=""  87             :    13  3d9.4s.(3D).5s       4D   ""","=""L10559c152"""
"=""3d9.4s.(3D).5s""","=""2D""","=""3/2""","=""""","=""0.2973461""","=""""","=""0.0000005""","=""""","=""  55             :    26  3d9.4s.(3D).5s       4D   ""","=""L10559c152"""
"=""3d9.4s.(1D).5s""","=""2D""","=""5/2""","=""""","=""0.3059246""","=""""","=""0.0000005""","=""0.69""","=""  95             :     5  3d9.4s.(3D).5s       4D   ""","=""L10559c152"""
"=""3d9.4s.(1D).5s""","=""2D""","=""3/2""","=""""","=""0.30970331""","=""""","=""0.00000023""","=""""","=""  69             :    30  3d9.4s.(3D).5s       2D   ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""4P*""","=""3/2""","=""""","=""0.3202247""","=""""","=""0.0000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""4P*""","=""1/2""","=""""","=""0.323510""","=""""","=""0.000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""4F*""","=""7/2""","=""""","=""0.3204789""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""4F*""","=""5/2""","=""""","=""0.3208323""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""4D*""","=""7/2""","=""""","=""0.3209556""","=""""","=""0.0000003""","=""1.43""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""4D*""","=""5/2""","=""""","=""0.321501""","=""""","=""0.000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""4D*""","=""3/2""","=""""","=""0.32363563""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""4D*""","=""1/2""","=""""","=""0.330797""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).4d""","=""2P""","=""3/2""","=""""","=""0.32283171""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""2P""","=""1/2""","=""""","=""0.3287464""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).4d""","=""2S""","=""1/2""","=""""","=""0.3228333""","=""""","=""0.0000010""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""2G""","=""9/2""","=""""","=""0.3228596""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""2G""","=""7/2""","=""""","=""0.32813278""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""2F*""","=""5/2""","=""""","=""0.32331682""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""2F*""","=""7/2""","=""""","=""0.3262973""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4S""","=""3/2""","=""""","=""0.32349124""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).4d""","=""2D""","=""5/2""","=""""","=""0.32394724""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""2D""","=""3/2""","=""""","=""0.3285345""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""2F""","=""7/2""","=""""","=""0.32408219""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""2F""","=""5/2""","=""""","=""0.32874501""","=""""","=""0.00000023""","=""1.10""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4G""","=""11/2""","=""""","=""0.3240952""","=""""","=""0.0000009""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4G""","=""9/2""","=""""","=""0.3279590""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4G""","=""7/2""","=""""","=""0.3330806""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).4d""","=""4G""","=""5/2""","=""""","=""0.33351814""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4P""","=""5/2""","=""""","=""0.32431165""","=""""","=""0.00000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4P""","=""1/2""","=""""","=""0.3275227""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4P""","=""3/2""","=""""","=""0.32772480""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4D""","=""7/2""","=""""","=""0.32472195""","=""""","=""0.00000018""","=""1.48""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4D""","=""5/2""","=""""","=""0.32836132""","=""""","=""0.00000018""","=""1.43""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4D""","=""3/2""","=""""","=""0.3330904""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4F""","=""9/2""","=""""","=""0.32482374""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4F""","=""7/2""","=""""","=""0.32848029""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4F""","=""5/2""","=""""","=""0.33400061""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).4d""","=""4F""","=""3/2""","=""""","=""0.33405451""","=""""","=""0.00000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""2D*""","=""5/2""","=""""","=""0.3268969""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""2D*""","=""3/2""","=""""","=""0.3281670""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""2P*""","=""3/2""","=""""","=""0.327683""","=""""","=""0.000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""2P*""","=""1/2""","=""""","=""0.331418""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5p""","=""*""","=""3/2""","=""""","=""0.327822""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L1923"""
"=""3d9.4s.(3D).6s""","=""4D""","=""7/2""","=""""","=""0.3371463""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6s""","=""4D""","=""5/2""","=""""","=""0.3385954""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6s""","=""4D""","=""3/2""","=""""","=""0.3419239""","=""""","=""0.0000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6s""","=""4D""","=""1/2""","=""""","=""0.3465750""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5p""","=""2P*""","=""3/2""","=""""","=""0.3383503""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5p""","=""2P*""","=""1/2""","=""""","=""0.3421410""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5p""","=""2F*""","=""7/2""","=""""","=""0.3387272""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5p""","=""2F*""","=""5/2""","=""""","=""0.3413811""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5p""","=""2D*""","=""3/2,5/2""","=""""","=""0.3394826""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2P""","=""1/2""","=""""","=""0.3422239""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2P""","=""3/2""","=""""","=""0.3429257""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6s""","=""2D""","=""5/2""","=""""","=""0.34250077""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6s""","=""2D""","=""3/2""","=""""","=""0.3477956""","=""""","=""0.0000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2G""","=""7/2""","=""""","=""0.3426651""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2G""","=""9/2""","=""""","=""0.3433014""","=""""","=""0.0000011""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2S""","=""1/2""","=""""","=""0.3434848""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2D""","=""3/2""","=""""","=""0.3437308""","=""""","=""0.0000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2D""","=""5/2""","=""""","=""0.3437603""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2F""","=""5/2""","=""""","=""0.3441682""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).4d""","=""2F""","=""7/2""","=""""","=""0.34433520""","=""""","=""0.00000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""2G""","=""9/2""","=""""","=""0.3500383""","=""""","=""0.0000010""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""2G""","=""7/2""","=""""","=""0.3549344""","=""""","=""0.0000010""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""2P""","=""3/2""","=""""","=""0.3500693""","=""""","=""0.0000010""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6p""","=""4P*""","=""3/2""","=""""","=""0.350441""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559c155"""
"=""3d9.4s.(3D).6p""","=""4P*""","=""1/2""","=""""","=""0.353951""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).5d""","=""2D""","=""5/2""","=""""","=""0.3506074""","=""""","=""0.0000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""2D""","=""3/2""","=""""","=""0.3550912""","=""""","=""0.0000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4S""","=""3/2""","=""""","=""0.3506510""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).5d""","=""2F""","=""7/2""","=""""","=""0.3506566""","=""""","=""0.0000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""2F""","=""5/2""","=""""","=""0.3552089""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4G""","=""11/2""","=""""","=""0.3509025""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4G""","=""9/2""","=""""","=""0.3547287""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4G""","=""7/2""","=""""","=""0.3598967""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4G""","=""5/2""","=""""","=""0.3601937""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4P""","=""5/2""","=""""","=""0.3509758""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4P""","=""1/2""","=""""","=""0.3545499""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4P""","=""3/2""","=""""","=""0.3546701""","=""""","=""0.0000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4D""","=""7/2""","=""""","=""0.3511482""","=""""","=""0.0000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4D""","=""5/2""","=""""","=""0.3549630""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4D""","=""3/2""","=""""","=""0.3599662""","=""""","=""0.0000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4F""","=""9/2""","=""""","=""0.3512046""","=""""","=""0.0000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4F""","=""7/2""","=""""","=""0.3550267""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4F""","=""5/2""","=""""","=""0.3604826""","=""""","=""0.0000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).5d""","=""4F""","=""3/2""","=""""","=""0.3604935""","=""""","=""0.0000008""","=""""","=""                                                    ""","=""L10559c152"""
