Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Lande,Leading percentages,Reference
"=""3d9.4s.(3D<3>).4f""","=""*""","=""1/2,3/2""","=""""","=""0.352145""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).4f""","=""*""","=""1/2,3/2""","=""""","=""0.352192""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).4f""","=""*""","=""1/2,3/2""","=""""","=""0.353676""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).7s""","=""4D""","=""7/2""","=""""","=""0.3565842""","=""""","=""0.0000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).7s""","=""4D""","=""5/2""","=""""","=""0.3576108""","=""""","=""0.0000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).7s""","=""4D""","=""3/2""","=""""","=""0.3611258""","=""""","=""0.0000008""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).7s""","=""4D""","=""1/2""","=""""","=""0.3660144""","=""""","=""0.0000009""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).6s""","=""2D""","=""5/2""","=""""","=""0.3569878""","=""""","=""0.0000009""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).6s""","=""2D""","=""3/2""","=""""","=""0.3580272""","=""""","=""0.0000008""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6p""","=""4D*""","=""1/2""","=""""","=""0.359460""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6p""","=""2P*""","=""1/2""","=""""","=""0.359588""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).7s""","=""2D""","=""5/2""","=""""","=""0.3611713""","=""""","=""0.0000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).7s""","=""2D""","=""3/2""","=""""","=""0.366586""","=""""","=""0.000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).4f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.361579""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).6d""","=""4S""","=""3/2""","=""""","=""0.3628706""","=""""","=""0.0000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).7p""","=""4P*""","=""3/2""","=""""","=""0.362901""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).7p""","=""4P*""","=""1/2""","=""""","=""0.366687""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6d""","=""4G""","=""11/2""","=""""","=""0.362994""","=""""","=""0.000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).6d""","=""4G""","=""9/2""","=""""","=""0.366811""","=""""","=""0.000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6d""","=""4P""","=""5/2""","=""""","=""0.363028""","=""""","=""0.000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6d""","=""4D""","=""7/2""","=""""","=""0.363114""","=""""","=""0.000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6d""","=""4D""","=""5/2""","=""""","=""0.366978""","=""""","=""0.000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6d""","=""4F""","=""9/2""","=""""","=""0.363138""","=""""","=""0.000003""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6d""","=""4F""","=""7/2""","=""""","=""0.3670570""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<3>).5f""","=""*""","=""1/2,3/2""","=""""","=""0.363591""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).8s""","=""4D""","=""7/2""","=""""","=""0.3659566""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<2>).5f""","=""*""","=""1/2,3/2""","=""""","=""0.366441""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).6d""","=""2G""","=""7/2""","=""""","=""0.3670292""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6d""","=""2F""","=""5/2""","=""""","=""0.367123""","=""""","=""0.000005""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).6d""","=""2D""","=""3/2""","=""""","=""0.3671791""","=""""","=""0.0000023""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).6p?""","=""2P*""","=""3/2""","=""""","=""0.368808""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).6p?""","=""2P*""","=""1/2""","=""""","=""0.371858""","=""""","=""0.000009""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).8p""","=""4P*""","=""3/2""","=""""","=""0.369449""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).8p""","=""4P*""","=""1/2""","=""""","=""0.373556""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).6f""","=""*""","=""1/2,3/2""","=""""","=""0.369805""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5d""","=""2D""","=""5/2""","=""""","=""0.3703960""","=""""","=""0.0000010""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5d""","=""2D""","=""3/2""","=""""","=""0.3704930""","=""""","=""0.0000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5d""","=""2F""","=""5/2""","=""""","=""0.3707139""","=""""","=""0.0000018""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).5d""","=""2F""","=""7/2""","=""""","=""0.3707773""","=""""","=""0.0000008""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D).7p?""","=""4D*""","=""1/2""","=""""","=""0.371858""","=""""","=""0.000009""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).7p""","=""2P*""","=""1/2""","=""""","=""0.371992""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<1>).5f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.373045""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).5f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.373075""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).9p""","=""4P*""","=""3/2""","=""""","=""0.373486""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).9p""","=""4P*""","=""1/2""","=""""","=""0.377327""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).7f""","=""*""","=""1/2,3/2""","=""""","=""0.374004""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<2>).6f""","=""*""","=""1/2,3/2""","=""""","=""0.374188""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).10p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.375817""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).8f""","=""*""","=""1/2,3/2""","=""""","=""0.375969""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).11p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.377564""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<3>).9f""","=""*""","=""1/2,3/2""","=""""","=""0.377624""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).7f""","=""*""","=""1/2,3/2""","=""""","=""0.377733""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<3>).12p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.378678""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).10f""","=""*""","=""1/2,3/2""","=""""","=""0.3788256""","=""""","=""0.0000018""","=""""","=""                                                    ""","=""L9299"""
"=""3d9.4s.(3D<1>).6f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.379252""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).13p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.379619""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).11f""","=""*""","=""1/2,3/2""","=""""","=""0.379694""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).10p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.379916""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).8f""","=""*""","=""1/2,3/2""","=""""","=""0.380157""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<3>).14p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.380319""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).12f""","=""*""","=""1/2,3/2""","=""""","=""0.380354""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).15p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.380840""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).13f""","=""*""","=""1/2,3/2""","=""""","=""0.380866""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).16p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.381248""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).14f""","=""*""","=""1/2,3/2""","=""""","=""0.381277""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).17p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.381455""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).11p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.381622""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).18p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.381823""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).9f""","=""*""","=""1/2,3/2""","=""""","=""0.381900""","=""""","=""0.000009""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(1D).7p?""","=""2P*""","=""3/2""","=""""","=""0.381900""","=""""","=""0.000009""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(1D).7p?""","=""2P*""","=""1/2""","=""""","=""0.383330""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).19p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.382099""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<3>).20p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.382285""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<3>).21p<3/2>""","=""(3,3/2)*""","=""3/2""","=""""","=""0.382448""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D).9p""","=""2P*""","=""1/2""","=""""","=""0.382622""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<2>).12p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.382847""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).7f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.382908""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<2>).10f""","=""*""","=""1/2,3/2""","=""""","=""0.382982""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<2>).13p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.383772""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""Cu II (3d9.4s 3D<3>)""","=""Limit""","=""---""","=""""","=""0.3838539""","=""""","=""""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).11f""","=""*""","=""1/2,3/2""","=""""","=""0.383869""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<2>).14p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.384449""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).12f""","=""*""","=""1/2,3/2""","=""""","=""0.384530""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).15p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.384992""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<2>).13f""","=""*""","=""1/2,3/2""","=""""","=""0.385053""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).10p""","=""*""","=""1/2""","=""""","=""0.385161""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).8f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.385408""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).16p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.385486""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).17p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.385770""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).18p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.386048""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).19p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.386261""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).20p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.386457""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<2>).21p<3/2>""","=""(2,3/2)*""","=""1/2""","=""""","=""0.386625""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<1>).11p""","=""*""","=""1/2""","=""""","=""0.386884""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).9f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.387062""","=""""","=""0.000006""","=""""","=""                                                    ""","=""L10559"""
"=""Cu II (3d9.4s 3D<2>)""","=""Limit""","=""---""","=""""","=""0.3880383""","=""""","=""""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).12p""","=""*""","=""1/2""","=""""","=""0.388107""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).10f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.388243""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(1D).8p?""","=""2P*""","=""3/2""","=""""","=""0.388742""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(1D).8p?""","=""2P*""","=""1/2""","=""""","=""0.389550""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).13p""","=""*""","=""1/2""","=""""","=""0.389051""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).11f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.389114""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).14p""","=""*""","=""1/2""","=""""","=""0.389727""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<1>).12f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.389780""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<1>).15p""","=""*""","=""1/2""","=""""","=""0.390254""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).13f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.390301""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).16p""","=""*""","=""1/2""","=""""","=""0.390669""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).14f<5/2>""","=""(1,5/2)*""","=""3/2""","=""""","=""0.390706""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).17p""","=""*""","=""1/2""","=""""","=""0.391021""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).18p""","=""*""","=""1/2""","=""""","=""0.391297""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).19p""","=""*""","=""1/2""","=""""","=""0.391509""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(3D<1>).20p""","=""*""","=""1/2""","=""""","=""0.391717""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(3D<1>).21p""","=""*""","=""1/2""","=""""","=""0.391872""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).9p?""","=""2P*""","=""3/2""","=""""","=""0.392811""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).9p?""","=""2P*""","=""1/2""","=""""","=""0.393289""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""Cu II (3d9.4s 3D<1>)""","=""Limit""","=""---""","=""""","=""0.3932838""","=""""","=""""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(1D).10p?""","=""2P*""","=""3/2""","=""""","=""0.395402""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(1D).10p?""","=""2P*""","=""1/2""","=""""","=""0.395711""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""3d9.4s.(1D).11p?""","=""2P*""","=""3/2""","=""""","=""0.397153""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d9.4s.(1D).11p?""","=""2P*""","=""1/2""","=""""","=""0.397374""","=""""","=""0.000007""","=""""","=""                                                    ""","=""L10559"""
"=""Cu II (3d9.4s 1D<2>)""","=""Limit""","=""---""","=""""","=""0.4036093""","=""""","=""""","=""""","=""                                                    ""","=""L10559"""
